in,x,y,qc,tc,tr,te,tl
2,22.0,22.0,18.0,0.0,0.0,0.0,0.0
3,36.0,26.0,26.0,0.0,0.0,0.0,0.0
4,21.0,45.0,11.0,0.0,0.0,0.0,0.0
5,45.0,35.0,30.0,0.0,0.0,0.0,0.0
6,55.0,20.0,21.0,0.0,0.0,0.0,0.0
7,33.0,34.0,19.0,0.0,0.0,0.0,0.0
8,50.0,50.0,15.0,0.0,0.0,0.0,0.0
9,55.0,45.0,16.0,0.0,0.0,0.0,0.0
10,26.0,59.0,29.0,0.0,0.0,0.0,0.0
11,40.0,66.0,26.0,0.0,0.0,0.0,0.0
12,55.0,65.0,37.0,0.0,0.0,0.0,0.0
13,35.0,51.0,16.0,0.0,0.0,0.0,0.0
14,62.0,35.0,12.0,0.0,0.0,0.0,0.0
15,62.0,57.0,31.0,0.0,0.0,0.0,0.0
16,62.0,24.0,8.0,0.0,0.0,0.0,0.0
17,21.0,36.0,19.0,0.0,0.0,0.0,0.0
18,33.0,44.0,20.0,0.0,0.0,0.0,0.0
19,9.0,56.0,13.0,0.0,0.0,0.0,0.0
20,62.0,48.0,15.0,0.0,0.0,0.0,0.0
21,66.0,14.0,22.0,0.0,0.0,0.0,0.0
22,44.0,13.0,28.0,0.0,0.0,0.0,0.0
23,26.0,13.0,12.0,0.0,0.0,0.0,0.0
24,11.0,28.0,6.0,0.0,0.0,0.0,0.0
25,7.0,43.0,27.0,0.0,0.0,0.0,0.0
26,17.0,64.0,14.0,0.0,0.0,0.0,0.0
27,41.0,46.0,18.0,0.0,0.0,0.0,0.0
28,55.0,34.0,17.0,0.0,0.0,0.0,0.0
29,35.0,16.0,29.0,0.0,0.0,0.0,0.0
30,52.0,26.0,13.0,0.0,0.0,0.0,0.0
31,43.0,26.0,22.0,0.0,0.0,0.0,0.0
32,31.0,76.0,25.0,0.0,0.0,0.0,0.0
33,22.0,53.0,28.0,0.0,0.0,0.0,0.0
34,26.0,29.0,27.0,0.0,0.0,0.0,0.0
35,50.0,40.0,19.0,0.0,0.0,0.0,0.0
36,55.0,50.0,10.0,0.0,0.0,0.0,0.0
37,54.0,10.0,12.0,0.0,0.0,0.0,0.0
38,60.0,15.0,14.0,0.0,0.0,0.0,0.0
39,47.0,66.0,24.0,0.0,0.0,0.0,0.0
40,30.0,60.0,16.0,0.0,0.0,0.0,0.0
41,30.0,50.0,33.0,0.0,0.0,0.0,0.0
42,12.0,17.0,15.0,0.0,0.0,0.0,0.0
43,15.0,14.0,11.0,0.0,0.0,0.0,0.0
44,16.0,19.0,18.0,0.0,0.0,0.0,0.0
45,21.0,48.0,17.0,0.0,0.0,0.0,0.0
46,50.0,30.0,21.0,0.0,0.0,0.0,0.0
47,51.0,42.0,27.0,0.0,0.0,0.0,0.0
48,50.0,15.0,19.0,0.0,0.0,0.0,0.0
49,48.0,21.0,20.0,0.0,0.0,0.0,0.0
50,12.0,38.0,5.0,0.0,0.0,0.0,0.0
51,15.0,56.0,22.0,0.0,0.0,0.0,0.0
52,29.0,39.0,12.0,0.0,0.0,0.0,0.0
53,54.0,38.0,19.0,0.0,0.0,0.0,0.0
54,55.0,57.0,22.0,0.0,0.0,0.0,0.0
55,67.0,41.0,16.0,0.0,0.0,0.0,0.0
56,10.0,70.0,7.0,0.0,0.0,0.0,0.0
57,6.0,25.0,26.0,0.0,0.0,0.0,0.0
58,65.0,27.0,14.0,0.0,0.0,0.0,0.0
59,40.0,60.0,21.0,0.0,0.0,0.0,0.0
60,70.0,64.0,24.0,0.0,0.0,0.0,0.0
61,64.0,4.0,13.0,0.0,0.0,0.0,0.0
62,36.0,6.0,15.0,0.0,0.0,0.0,0.0
63,30.0,20.0,18.0,0.0,0.0,0.0,0.0
64,20.0,30.0,11.0,0.0,0.0,0.0,0.0
65,15.0,5.0,28.0,0.0,0.0,0.0,0.0
66,50.0,70.0,9.0,0.0,0.0,0.0,0.0
67,57.0,72.0,37.0,0.0,0.0,0.0,0.0
68,45.0,42.0,30.0,0.0,0.0,0.0,0.0
69,38.0,33.0,10.0,0.0,0.0,0.0,0.0
70,50.0,4.0,8.0,0.0,0.0,0.0,0.0
71,66.0,8.0,11.0,0.0,0.0,0.0,0.0
72,59.0,5.0,3.0,0.0,0.0,0.0,0.0
73,35.0,60.0,1.0,0.0,0.0,0.0,0.0
74,27.0,24.0,6.0,0.0,0.0,0.0,0.0
75,40.0,20.0,10.0,0.0,0.0,0.0,0.0
76,40.0,37.0,20.0,0.0,0.0,0.0,0.0
