in,x,y,qc,tc,tr,te,tl
2,151.0,264.0,1100.0,0.0,0.0,0.0,0.0
3,159.0,261.0,700.0,0.0,0.0,0.0,0.0
4,130.0,254.0,800.0,0.0,0.0,0.0,0.0
5,128.0,252.0,1400.0,0.0,0.0,0.0,0.0
6,163.0,247.0,2100.0,0.0,0.0,0.0,0.0
7,146.0,246.0,400.0,0.0,0.0,0.0,0.0
8,161.0,242.0,800.0,0.0,0.0,0.0,0.0
9,142.0,239.0,100.0,0.0,0.0,0.0,0.0
10,163.0,236.0,500.0,0.0,0.0,0.0,0.0
11,148.0,232.0,600.0,0.0,0.0,0.0,0.0
12,128.0,231.0,1200.0,0.0,0.0,0.0,0.0
13,156.0,217.0,1300.0,0.0,0.0,0.0,0.0
14,129.0,214.0,1300.0,0.0,0.0,0.0,0.0
15,146.0,208.0,300.0,0.0,0.0,0.0,0.0
16,164.0,208.0,900.0,0.0,0.0,0.0,0.0
17,141.0,206.0,2100.0,0.0,0.0,0.0,0.0
18,147.0,193.0,1000.0,0.0,0.0,0.0,0.0
19,164.0,193.0,900.0,0.0,0.0,0.0,0.0
20,129.0,189.0,2500.0,0.0,0.0,0.0,0.0
21,155.0,185.0,1800.0,0.0,0.0,0.0,0.0
22,139.0,182.0,700.0,0.0,0.0,0.0,0.0
